Index,Product,Price,Vendor,Date
0,Siemens iQ500 GS58NDWDP,"€ 721,82",Köck,2024-06-26
1,Siemens iQ500 GS58NDWDP,"€ 721,82",Radio Krejcik Wien,2024-06-26
2,Siemens iQ500 GS58NDWDP,"€ 721,82",Servicehansa,2024-06-26
3,Siemens iQ500 GS58NDWDP,"€ 735,00",ek-online,2024-06-26
4,Siemens iQ500 GS58NDWDP,"€ 735,00",electronic4you,2024-06-26
5,Siemens iQ500 GS58NDWDP,"€ 735,00",Majdic,2024-06-26
6,Siemens iQ500 GS58NDWDP,"€ 735,00",electronic4you,2024-06-26
7,Siemens iQ500 GS58NDWDP,"€ 740,13",0815,2024-06-26
8,Siemens iQ500 GS58NDWDP,"€ 769,00",akatronik,2024-06-26
9,Siemens iQ500 GS58NDWDP,"€ 769,00",mörth online,2024-06-26
10,Siemens iQ500 GS58NDWDP,"€ 770,90",sopo.at,2024-06-26
11,Siemens iQ500 GS58NDWDP,"€ 796,63",Amazon.at,2024-06-26
12,Siemens iQ500 GS58NDWDP,"€ 799,00",Electromax,2024-06-26
13,Siemens iQ500 GS58NDWDP,"€ 805,70",Elektroshop Wagner AT,2024-06-26
14,Siemens iQ500 GS58NDWDP,"€ 849,00",Schreck,2024-06-26
15,Siemens iQ500 GS58NDWDP,"€ 849,00",Küchen & Wohnstudio Kutzer,2024-06-26
16,Siemens iQ500 GS58NDWDP,"€ 855,29",Mybauer.at,2024-06-26
17,Siemens iQ500 GS58NDWDP,"€ 869,99",OTTO Österreich,2024-06-26
18,Siemens iQ500 GS58NDWDP,"€ 890,00",XXL Resch,2024-06-26
19,Siemens iQ500 GS58NDWDP,"€ 907,65",e-tec.at,2024-06-26
20,Siemens iQ500 GS58NDWDP,"€ 999,00",Selektro,2024-06-26
21,Siemens iQ500 GS58NDWDP,"€ 999,99",Media Markt.at,2024-06-26
22,Siemens iQ500 GS58NDWDP,"€ 1039,00",Siemens Online Shop,2024-06-26
23,Siemens iQ500 GS58NDWDP,"€ 1099,00",Expert,2024-06-26
24,Siemens iQ500 GS58NDWDP,"€ 1439,00",W-Wohnen,2024-06-26
25,Siemens iQ300 GS29NVWEP,"€ 529,00",Köck,2024-06-26
26,Siemens iQ300 GS29NVWEP,"€ 529,00",akatronik,2024-06-26
27,Siemens iQ300 GS29NVWEP,"€ 529,00",Radio Krejcik Wien,2024-06-26
28,Siemens iQ300 GS29NVWEP,"€ 529,00",Servicehansa,2024-06-26
29,Siemens iQ300 GS29NVWEP,"€ 547,10",0815,2024-06-26
30,Siemens iQ300 GS29NVWEP,"€ 559,00",ek-online,2024-06-26
31,Siemens iQ300 GS29NVWEP,"€ 559,00",electronic4you,2024-06-26
32,Siemens iQ300 GS29NVWEP,"€ 559,00",Majdic,2024-06-26
33,Siemens iQ300 GS29NVWEP,"€ 559,00",electronic4you,2024-06-26
34,Siemens iQ300 GS29NVWEP,"€ 589,99",Media Markt.at,2024-06-26
35,Siemens iQ300 GS29NVWEP,"€ 629,00",Küchen & Wohnstudio Kutzer,2024-06-26
36,Siemens iQ300 GS29NVWEP,"€ 643,33",sopo.at,2024-06-26
37,Siemens iQ300 GS29NVWEP,"€ 645,00",Alternate.at,2024-06-26
38,Siemens iQ300 GS29NVWEP,"€ 649,00",INTERSPAR Onlineshop,2024-06-26
39,Siemens iQ300 GS29NVWEP,"€ 655,45",Amazon.at,2024-06-26
40,Siemens iQ300 GS29NVWEP,"€ 679,99",Universal Versand,2024-06-26
41,Siemens iQ300 GS29NVWEP,"€ 679,99",OTTO Österreich,2024-06-26
42,Siemens iQ300 GS29NVWEP,"€ 691,45",e-tec.at,2024-06-26
43,Siemens iQ300 GS29NVWEP,"€ 691,90",techonly,2024-06-26
44,Siemens iQ300 GS29NVWEP,"€ 699,00",Selektro,2024-06-26
45,Siemens iQ300 GS29NVWEP,"€ 748,99",iQ shop,2024-06-26
46,Siemens iQ300 GS29NVWEP,"€ 748,99",iQ Shop,2024-06-26
47,Siemens iQ300 GS29NVWEP,"€ 749,00",Siemens Online Shop,2024-06-26
48,Siemens iQ300 GS29NVWEP,"€ 827,52",Elektroshop Wagner AT,2024-06-26
49,Siemens iQ300 GS29NVWEP,"€ 839,95",Di-Life,2024-06-26
50,Siemens iQ300 GS29NVWEP,"€ 909,00",W-Wohnen,2024-06-26
51,Siemens iQ300 GS29NVWEP,"€ 1070,61",mylemon.at,2024-06-26
52,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",Köck,2024-06-26
53,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",ek-online,2024-06-26
54,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",akatronik,2024-06-26
55,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",0815,2024-06-26
56,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",Küchen & Wohnstudio Kutzer,2024-06-26
57,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",sabi-online,2024-06-26
58,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",Media Markt.at,2024-06-26
59,Liebherr FNc 7227-22 Plus NoFrost,"€ 1149,00",Red Zac,2024-06-26
60,Liebherr FNc 7227-22 Plus NoFrost,"€ 1209,00",ElectronicPartner,2024-06-26
61,Liebherr FNc 7227-22 Plus NoFrost,"€ 1249,00",ALLES KÜCHE,2024-06-26
62,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Köck,2024-06-26
63,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Expert,2024-06-26
64,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Radio Krejcik Wien,2024-06-26
65,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Küchen & Wohnstudio Kutzer,2024-06-26
66,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",sabi-online,2024-06-26
67,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",electronic4you,2024-06-26
68,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Majdic,2024-06-26
69,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,00",Red Zac,2024-06-26
70,Liebherr FNd 4625-22 Plus NoFrost,"€ 749,99",Media Markt.at,2024-06-26
71,Siemens iQ500 GS51NAWCV,"€ 835,96",Elektroshop Wagner AT,2024-06-26
72,Siemens iQ500 GS51NAWCV,"€ 853,29",Köck,2024-06-26
73,Siemens iQ500 GS51NAWCV,"€ 853,29",ek-online,2024-06-26
74,Siemens iQ500 GS51NAWCV,"€ 853,29",akatronik,2024-06-26
75,Siemens iQ500 GS51NAWCV,"€ 853,29",Radio Krejcik Wien,2024-06-26
76,Siemens iQ500 GS51NAWCV,"€ 853,29",Servicehansa,2024-06-26
77,Siemens iQ500 GS51NAWCV,"€ 855,00",Alternate.at,2024-06-26
78,Siemens iQ500 GS51NAWCV,"€ 859,34",0815,2024-06-26
79,Siemens iQ500 GS51NAWCV,"€ 889,99",Universal Versand,2024-06-26
80,Siemens iQ500 GS51NAWCV,"€ 889,99",OTTO Österreich,2024-06-26
81,Siemens iQ500 GS51NAWCV,"€ 912,29",XXL Resch,2024-06-26
82,Siemens iQ500 GS51NAWCV,"€ 926,64",Mybauer.at,2024-06-26
83,Siemens iQ500 GS51NAWCV,"€ 949,00",Schreck,2024-06-26
84,Siemens iQ500 GS51NAWCV,"€ 969,00",Küchen & Wohnstudio Kutzer,2024-06-26
85,Siemens iQ500 GS51NAWCV,"€ 971,39",sopo.at,2024-06-26
86,Siemens iQ500 GS51NAWCV,"€ 1088,55",e-tec.at,2024-06-26
87,Siemens iQ500 GS51NAWCV,"€ 1179,00",Siemens Online Shop,2024-06-26
88,Siemens iQ500 GS51NAWCV,"€ 1499,51",mylemon.at,2024-06-26
89,Siemens iQ500 GS51NAWCV,"€ 1529,00",W-Wohnen,2024-06-26
90,Bomann GS 7340 inox-look,"€ 322,64",Elektroshop Wagner AT,2024-06-26
91,Bomann GS 7340 inox-look,"€ 362,02",Amazon.at,2024-06-26
92,Bosch Serie 2 GTV15NWEA Tisch-Gefrierschrank,"€ 252,09",Köck,2024-06-26
