,Model,Price_w/o_shipping,Vendor,Date
0,Gorenje R291PW4,"€ 128,58",Köck,2024-07-04
1,Gorenje R291PW4,"€ 128,58",akatronik,2024-07-04
2,Gorenje R291PW4,"€ 128,58",Servicehansa,2024-07-04
3,Gorenje R291PW4,"€ 129,00",sabi-online,2024-07-04
4,Gorenje R291PW4,"€ 146,24",Haushaltsparadies,2024-07-04
5,Gorenje R291PW4,"€ 149,00",mörth online,2024-07-04
6,Gorenje R291PW4,"€ 159,90",ek-online,2024-07-04
7,Gorenje R291PW4,"€ 159,90",Expert,2024-07-04
8,Gorenje R291PW4,"€ 159,90",etisch,2024-07-04
9,Gorenje R291PW4,"€ 169,90",elektro tisch,2024-07-04
10,Gorenje R291PW4,"€ 179,00",Schreck,2024-07-04
11,Gorenje R291PW4,"€ 199,00",INTERSPAR Onlineshop,2024-07-04
12,Gorenje R291PW4,"€ 199,00",EDV-Service Stadlauer,2024-07-04
13,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 88,85",Köck,2024-07-04
14,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 88,85",Servicehansa,2024-07-04
15,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 91,46",Amazon.at,2024-07-04
16,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 96,18",Radio Krejcik Wien,2024-07-04
17,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 115,00",electronic4you,2024-07-04
18,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 115,00",Majdic,2024-07-04
19,Exquisit CKB45-0-031F Mini-Kühlschrank weiß,"€ 115,00",electronic4you,2024-07-04
20,Gorenje R619EES5,"€ 385,70",Amazon.at,2024-07-04
21,Gorenje R619EES5,"€ 464,00",Köck,2024-07-04
22,Gorenje R619EES5,"€ 464,00",Servicehansa,2024-07-04
23,Gorenje R619EES5,"€ 487,93",Radio Krejcik Wien,2024-07-04
24,Gorenje R619EES5,"€ 499,00",techonly,2024-07-04
25,Gorenje R619EES5,"€ 502,00",Alternate.at,2024-07-04
26,Gorenje R619EES5,"€ 507,53",akatronik,2024-07-04
27,Gorenje R619EES5,"€ 539,00",ek-online,2024-07-04
28,Gorenje R619EES5,"€ 539,00",EDV-Service Stadlauer,2024-07-04
29,Gorenje R619EES5,"€ 548,10",e-tec.at,2024-07-04
30,Gorenje R619EES5,"€ 549,00",mörth online,2024-07-04
31,Gorenje R619EES5,"€ 549,99",Media Markt.at,2024-07-04
32,Gorenje R619EES5,"€ 612,02",Elektroshop Wagner AT,2024-07-04
33,Gorenje R619EES5,"€ 788,99",iQ Shop,2024-07-04
34,Gorenje R619EES5,"€ 808,99",iQ shop,2024-07-04
35,Gorenje R619EES5,"€ 820,48",mylemon.at,2024-07-04
36,Gorenje R619EES5,"€ 873,23",Di-Life,2024-07-04
37,Gorenje R29EPW4,"€ 169,00",Köck,2024-07-04
38,Gorenje R29EPW4,"€ 169,00",Radio Krejcik Wien,2024-07-04
39,Gorenje R29EPW4,"€ 169,00",Servicehansa,2024-07-04
40,Gorenje R29EPW4,"€ 169,00",Media Markt.at,2024-07-04
41,Gorenje R29EPW4,"€ 229,00",Expert,2024-07-04
42,Gorenje R29EPW4,"€ 229,00",etisch,2024-07-04
43,Gorenje R29EPW4,"€ 234,90",Schmidt's,2024-07-04
44,Gorenje R29EPW4,"€ 239,00",elektro tisch,2024-07-04
45,Gorenje R29EPW4,"€ 249,00",electronic4you,2024-07-04
46,Gorenje R29EPW4,"€ 249,00",techonly,2024-07-04
47,Gorenje R29EPW4,"€ 249,00",e-tec.at,2024-07-04
48,Gorenje R29EPW4,"€ 249,00",Majdic,2024-07-04
49,Gorenje R29EPW4,"€ 249,00",electronic4you,2024-07-04
50,Gorenje R29EPW4,"€ 261,38",0815,2024-07-04
51,Gorenje R29EPW4,"€ 314,46",Di-Life,2024-07-04
52,Gorenje R29EPW4,"€ 349,00",iQ Shop,2024-07-04
53,Gorenje R29EPW4,"€ 349,00",iQ shop,2024-07-04
54,Gorenje R4142PW,"€ 278,00",Köck,2024-07-04
55,Gorenje R4142PW,"€ 278,00",Radio Krejcik Wien,2024-07-04
56,Gorenje R4142PW,"€ 278,00",Servicehansa,2024-07-04
