Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
0,"Klipsch RP-8000F II ebenholz, Stück","€ 708,00",electronic4you,2024-07-12
1,"Klipsch RP-8000F II ebenholz, Stück","€ 710,00",electronic4you,2024-07-12
2,"Klipsch RP-8000F II ebenholz, Stück","€ 710,00",HeimkinoWelt,2024-07-12
3,"Klipsch RP-8000F II ebenholz, Stück","€ 739,99",Majdic,2024-07-12
4,"Klipsch RP-8000F II ebenholz, Stück","€ 739,99",Media Markt.at,2024-07-12
5,"Klipsch RP-8000F II ebenholz, Stück","€ 747,00",HiFi-Design,2024-07-12
6,"Klipsch RP-8000F II ebenholz, Stück","€ 749,00",katzenbeisser multimedia & mehr,2024-07-12
7,"Klipsch RP-8000F II ebenholz, Stück","€ 849,00",Akustik Projekt,2024-07-12
8,"Klipsch RP-8000F II ebenholz, Stück","€ 856,99",visunext.at,2024-07-12
9,"Magnat Monitor Reference 2A, Paar","€ 328,84",mylemon.at,2024-07-12
10,"Magnat Monitor Reference 2A, Paar","€ 328,85",0815,2024-07-12
11,"Magnat Monitor Reference 2A, Paar","€ 329,00",Elektro Sandleiten,2024-07-12
12,"Magnat Monitor Reference 2A, Paar","€ 329,00",e-tec.at,2024-07-12
13,"Magnat Monitor Reference 2A, Paar","€ 332,90",DiTech.at,2024-07-12
14,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",Akustik Projekt,2024-07-12
15,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",HeimkinoPLUS,2024-07-12
16,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",HiFi-Design,2024-07-12
17,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",mörth online,2024-07-12
18,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",HeimkinoWelt,2024-07-12
19,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",d-t-s.at,2024-07-12
20,"Monitor Audio Bronze C150 schwarz, Stück","€ 349,00",Heimkino24,2024-07-12
21,"Klipsch RP-504C II ebenholz, Stück","€ 549,00",HiFi-Design,2024-07-12
22,"Klipsch RP-504C II ebenholz, Stück","€ 549,00",HeimkinoWelt,2024-07-12
23,"Klipsch RP-504C II ebenholz, Stück","€ 569,99",Media Markt.at,2024-07-12
24,"Klipsch RP-504C II ebenholz, Stück","€ 594,00",Akustik Projekt,2024-07-12
25,"Klipsch RP-504C II ebenholz, Stück","€ 599,00",katzenbeisser multimedia & mehr,2024-07-12
26,"Klipsch RP-504C II ebenholz, Stück","€ 654,99",visunext.at,2024-07-12
27,"Klipsch R-50M, Paar","€ 257,00",electronic4you,2024-07-12
28,"Klipsch R-50M, Paar","€ 258,00",Akustik Projekt,2024-07-12
29,"Klipsch R-50M, Paar","€ 258,00",HeimkinoWelt,2024-07-12
30,"Klipsch R-50M, Paar","€ 259,00",electronic4you,2024-07-12
31,"Klipsch R-50M, Paar","€ 269,00",Majdic,2024-07-12
32,"Klipsch R-50M, Paar","€ 269,99",Media Markt.at,2024-07-12
33,"Polk Audio Signature Elite ES20 weiß, Paar","€ 267,00",electronic4you,2024-07-12
34,"Polk Audio Signature Elite ES20 weiß, Paar","€ 269,00",electronic4you,2024-07-12
35,"Polk Audio Signature Elite ES20 weiß, Paar","€ 269,00",Majdic,2024-07-12
36,"Polk Audio Signature Elite ES20 weiß, Paar","€ 271,26",Amazon.at,2024-07-12
37,"Polk Audio Signature Elite ES20 weiß, Paar","€ 368,99",visunext.at,2024-07-12
38,"Polk Audio Signature Elite ES20 weiß, Paar","€ 399,00",Köck,2024-07-12
39,"Klipsch R-51PM, Paar","€ 359,00",Akustik Projekt,2024-07-12
40,"Klipsch R-51PM, Paar","€ 359,00",electronic4you,2024-07-12
41,"Klipsch R-51PM, Paar","€ 359,00",Majdic,2024-07-12
42,"Klipsch R-51PM, Paar","€ 489,58",Amazon.at,2024-07-12
43,"Klipsch R-51PM, Paar","€ 534,99",mylemon.at,2024-07-12
44,"Klipsch R-51PM, Paar","€ 535,00",ElectronicShop24,2024-07-12
45,"Klipsch R-51PM, Paar","€ 545,12",Proshop.at,2024-07-12
46,"Klipsch R-51PM, Paar","€ 669,00",d-t-s.at,2024-07-12
47,"Klipsch RP-8060FA II schwarz, Stück","€ 995,00",Akustik Projekt,2024-07-12
48,"Klipsch RP-8060FA II schwarz, Stück","€ 995,00",HeimkinoWelt,2024-07-12
49,"Klipsch RP-8060FA II schwarz, Stück","€ 1189,00",Media Markt.at,2024-07-12
50,"Klipsch RP-8060FA II schwarz, Stück","€ 1197,00",electronic4you,2024-07-12
51,"Klipsch RP-8060FA II schwarz, Stück","€ 1197,00",Majdic,2024-07-12
52,"Klipsch RP-8060FA II schwarz, Stück","€ 1197,00",electronic4you,2024-07-12
53,"Klipsch RP-8060FA II schwarz, Stück","€ 1199,00",HiFi-Design,2024-07-12
54,"Klipsch RP-8060FA II schwarz, Stück","€ 1199,00",katzenbeisser multimedia & mehr,2024-07-12
55,"Klipsch RP-8060FA II schwarz, Stück","€ 1510,99",visunext.at,2024-07-12
56,"Klipsch RP-600M II ebenholz, Paar","€ 570,00",HeimkinoWelt,2024-07-12
57,"Klipsch RP-600M II ebenholz, Paar","€ 619,00",electronic4you,2024-07-12
58,"Klipsch RP-600M II ebenholz, Paar","€ 619,00",electronic4you,2024-07-12
59,"Klipsch RP-600M II ebenholz, Paar","€ 699,00",Akustik Projekt,2024-07-12
60,"Klipsch RP-600M II ebenholz, Paar","€ 699,00",Majdic,2024-07-12
61,"Klipsch RP-600M II ebenholz, Paar","€ 704,99",visunext.at,2024-07-12
62,"Elac Uni-Fi 2.0 UB52, Paar","€ 494,00",electronic4you,2024-07-12
63,"Elac Uni-Fi 2.0 UB52, Paar","€ 496,00",electronic4you,2024-07-12
64,"Elac Uni-Fi 2.0 UB52, Paar","€ 496,00",Majdic,2024-07-12
65,"Elac Uni-Fi 2.0 UB52, Paar","€ 496,00",HeimkinoWelt,2024-07-12
66,"Elac Uni-Fi 2.0 UB52, Paar","€ 503,99",visunext.at,2024-07-12
67,"Edifier R1380DB weiß, Paar","€ 124,72",mylemon.at,2024-07-12
68,"Edifier R1380DB weiß, Paar","€ 124,73",haym.infotec,2024-07-12
69,"Edifier R1380DB weiß, Paar","€ 129,90",I-CS,2024-07-12
70,"Edifier R1380DB weiß, Paar","€ 130,99",1ashop.at,2024-07-12
71,"Edifier R1380DB weiß, Paar","€ 130,99",Future-X.at,2024-07-12
72,"Edifier R1380DB weiß, Paar","€ 137,00",ElectronicShop24,2024-07-12
73,"Edifier R1380DB weiß, Paar","€ 146,17",Amazon.at,2024-07-12
74,"Edifier R1380DB weiß, Paar","€ 148,00",ms-it-beratung,2024-07-12
75,"Teufel Theater 500 Master of Sound, Paar","€ 699,99",teufelaudio.at,2024-07-12
76,"Teufel Theater 500 Master of Sound, Paar","€ 1199,99",teufelaudio.at,2024-07-12
77,"Teufel Theater 500 Master of Sound, Paar","€ 1349,99",teufelaudio.at,2024-07-12
78,"Teufel Theater 500 Master of Sound, Paar","€ 1599,99",teufelaudio.at,2024-07-12
79,"Teufel Theater 500 Master of Sound, Paar","€ 1649,99",teufelaudio.at,2024-07-12
80,"Teufel Theater 500 Master of Sound, Paar","€ 1699,99",teufelaudio.at,2024-07-12
81,"Teufel Theater 500 Master of Sound, Paar","€ 1899,99",teufelaudio.at,2024-07-12
82,"Teufel Theater 500 Master of Sound, Paar","€ 1949,99",teufelaudio.at,2024-07-12
83,"Edifier R1700BT braun, Paar","€ 148,92",mylemon.at,2024-07-12
84,"Edifier R1700BT braun, Paar","€ 148,93",Proshop.at,2024-07-12
85,"Edifier R1700BT braun, Paar","€ 149,90",alza.at,2024-07-12
86,"Edifier R1700BT braun, Paar","€ 155,93",Amazon.at,2024-07-12
87,"Edifier R1700BT braun, Paar","€ 158,90",I-CS,2024-07-12
88,"Edifier R1700BT braun, Paar","€ 160,99",Future-X.at,2024-07-12
89,"Edifier R1700BT braun, Paar","€ 166,60",e-tec.at,2024-07-12
90,"Edifier R1700BT braun, Paar","€ 166,60",e-tec.at,2024-07-12
91,"Edifier R1700BT braun, Paar","€ 166,60",haym.infotec,2024-07-12
92,"Edifier R1700BT braun, Paar","€ 168,90",DiTech.at,2024-07-12
93,"Edifier R1700BT braun, Paar","€ 168,90",DiTech.at,2024-07-12
94,"Edifier R1700BT braun, Paar","€ 172,90",Alternate.at,2024-07-12
95,"Edifier R1700BT braun, Paar","€ 173,41",1ashop.at,2024-07-12
96,"Edifier R1700BT braun, Paar","€ 179,33",mylemon.at,2024-07-12
97,"Edifier R1700BT braun, Paar","€ 191,00",ElectronicShop24,2024-07-12
98,"Edifier R1700BT braun, Paar","€ 204,45",Di-Life,2024-07-12
99,"Edifier R1700BT braun, Paar","€ 213,00",ms-it-beratung,2024-07-12
100,"Klipsch RP-500C II ebenholz, Stück","€ 309,00",Akustik Projekt,2024-07-12
101,"Klipsch RP-500C II ebenholz, Stück","€ 314,00",HeimkinoWelt,2024-07-12
102,"Klipsch RP-500C II ebenholz, Stück","€ 319,99",Media Markt.at,2024-07-12
103,"Klipsch RP-500C II ebenholz, Stück","€ 365,00",electronic4you,2024-07-12
104,"Klipsch RP-500C II ebenholz, Stück","€ 365,00",electronic4you,2024-07-12
105,"Klipsch RP-500C II ebenholz, Stück","€ 368,99",visunext.at,2024-07-12
106,"Klipsch RP-500C II ebenholz, Stück","€ 379,00",Majdic,2024-07-12
107,"Klipsch RP-500C II ebenholz, Stück","€ 395,00",HiFi-Design,2024-07-12
108,"Klipsch RP-500C II ebenholz, Stück","€ 399,00",katzenbeisser multimedia & mehr,2024-07-12
109,"Klipsch RP-6000F II ebenholz, Stück","€ 545,00",electronic4you,2024-07-12
110,"Klipsch RP-6000F II ebenholz, Stück","€ 547,00",electronic4you,2024-07-12
111,"Klipsch RP-6000F II ebenholz, Stück","€ 547,00",HeimkinoWelt,2024-07-12
112,"Klipsch RP-6000F II ebenholz, Stück","€ 565,00",HiFi-Design,2024-07-12
113,"Klipsch RP-6000F II ebenholz, Stück","€ 579,00",Majdic,2024-07-12
114,"Klipsch RP-6000F II ebenholz, Stück","€ 579,99",Media Markt.at,2024-07-12
115,"Klipsch RP-6000F II ebenholz, Stück","€ 599,00",katzenbeisser multimedia & mehr,2024-07-12
116,"Klipsch RP-6000F II ebenholz, Stück","€ 699,00",Akustik Projekt,2024-07-12
117,"Klipsch RP-6000F II ebenholz, Stück","€ 755,99",visunext.at,2024-07-12
118,"Sony SA-RS3S, Paar","€ 422,90",Proshop.at,2024-07-12
119,"Sony SA-RS3S, Paar","€ 422,90",alza.at,2024-07-12
